,Diagnosis,Symptoms,Weight
51,Bursitis inflammation of joint cushion,"['Shoulder ache or pain', 'Arm ache or pain', 'Leg ache or pain']",0.92
52,Caffeine use,"['Insomnia (Trouble sleeping)', 'Infertility (Female)']",1.0
53,Calcium channel blocker overdose blood pressure medication overdose,"['Overdose', 'Poisoning']",1.0
54,Calluses and corns,['Skin sores'],0.67
55,"Carbon monoxide poisoning odorless, poisonous gas","['Change in behavior', 'Dizziness', 'Headache', 'Numbness', 'Poisoning', 'Seizure', 'Vomiting', 'Fainting', 'Confusion', 'Headache and weakness', 'Confusion and headache']",2.07
56,Carotid cavernous fistula abnormal blood vessel communication,['Sinus pain and pressure'],0.0
57,Cavernous sinus aneurysm head vein dilation,"['Sinus pain and pressure', 'Headache and weakness']",1.0
58,Cavernous sinus tumor head vein cancer,"['Sinus pain and pressure', 'Headache and weakness']",0.0
59,Cellulitis skin infection,"['Arm ache or pain', 'Pain or soreness of breast', 'Chills', 'Fever', 'Leg ache or pain', 'Swelling of both legs', 'Neck swelling', 'Rash', 'Painful rash', 'Skin swelling', 'Lip swelling', 'Arm swelling', 'Ear swelling', 'Hand redness', 'Foot redness', 'Arm redness', 'Armpit pain', 'Upper abdominal pain', 'Back ache or pain', 'Ear pressure', 'Pain in the ear', 'Skin itching', 'Neck ache or pain', 'Skin sores', 'Chest pain', 'Stomach and abdominal pain', 'Low back ache or pain']",1.35
60,Cerebellar hemorrhage bleeding in back of brain,['Headache and weakness'],1.0
61,Cerebral contusion bruise of brain,"['Speech problem', 'Visual problems', 'Headache and weakness', 'Confusion and headache']",1.86
62,Cerebral vascular accident stroke,"['Change in behavior', 'Dizziness', 'Fainting', 'Hypothermia (Low temperature)', 'Incontinence (leaking urine)', 'Numbness', 'Seizure', 'Speech problem', 'Swallowing problem (Dysphagia)', 'Unsteady gait (Trouble walking)', 'Visual problems', 'Urinary retention (Inability to urinate)', 'Choking', 'Loss of balance', 'Hand numbness (paresthesias)', 'Arm numbness (paresthesias)', 'Leg numbness (paresthesias)', 'Foot numbness (paresthesias)', 'Face numbness (paresthesias)', 'Facial droop (weakness)', 'Confusion', 'Headache and weakness']",1.78
63,Cervical lymphadenopathy enlarged neck lymph nodes,"['Neck swelling', 'Swollen lymph nodes (Large lymph nodes)']",2.0
64,Cervical radiculopathy pinched nerve in neck,"['Hand numbness (paresthesias)', 'Arm numbness (paresthesias)', 'Arm ache or pain', 'Neck ache or pain']",0.29
65,Cervical spine fracture broken neck bone,"['Neck ache or pain', 'Arm numbness (paresthesias)', 'Incontinence (leaking urine)']",1.8
66,Child abuse,"['Inconsolable baby', 'Learning difficulties']",2.25
67,Chlorine bleach ingestion,['Poisoning'],1.0
68,Choledocholithiasis stone in bile duct,"['Upper abdominal pain', 'Jaundice (Yellowing skin)', 'Steatorrhea (Excess fat in stool)', 'Chest pain']",1.5
69,Chronic fatigue syndrome CFS,"['Lethargy (Sluggishness)', 'Tired']",
70,Cirrhosis liver failure and scarring,"['Weight loss, unexplained', 'Vomiting coffee ground material', 'Bleeding gums', 'Swelling of both legs', 'Abdominal swelling (Stomach swelling)', 'Jaundice (Yellowing skin)', 'Impotence', 'Blood in vomit', 'Alcohol abuse']",1.38
71,Cluster headache one-sided headache behind the eye,"['Facial pain', 'Headache']",0.33
72,Cocaine overdose,"['Overdose', 'Poisoning']",1.4
73,Colonic diverticulitis inflammation of pouches in the large intestine,"['Lower abdominal pain', 'Flank pain', 'Stomach and abdominal pain', 'Upper abdominal pain', 'Back ache or pain', 'Kidney pain (Flank pain)']",1.36
74,Common spider bite spider bite,['Arm swelling'],2.0
75,Compartment syndrome increased pressure inside muscles,"['Leg ache or pain', 'Numbness', 'Hand numbness (paresthesias)', 'Arm numbness (paresthesias)', 'Leg numbness (paresthesias)', 'Foot numbness (paresthesias)']",1.33
76,Contact dermatitis contact skin irritation,"['Rash', 'Foot itching', 'Hand itching', 'Armpit pain', 'Ear pressure', 'Pain in the ear', 'Skin itching', 'Skin sores']",1.09
77,"Poison ivy poison oak, poison sumac","['Skin itching', 'Mouth swelling', 'Skin swelling', 'Arm itching', 'Foot itching', 'Hand redness', 'Foot redness', 'Arm redness', 'Hand itching', 'Rash', 'Skin sores']",
78,Corneal abrasion scrape on eye,"['Eye pain (Irritation)', 'Visual problems', 'Inconsolable baby', 'Eye redness', 'Blurry vision']",1.83
79,Coronary artery dissection heart artery tear,['Chest pain'],1.0
80,Cough medicine abuse,['Overdose'],2.0
81,"Crohn's disease regional enteritis, Crohn's colitis, intestinal inflammation","['Flank pain', 'Weight loss, unexplained', 'Lower abdominal pain', 'Stomach and abdominal pain', 'Back ache or pain', 'Kidney pain (Flank pain)', 'Vomiting']",1.57
83,Cystocele bladder hernia,"['Frequent urination (Frequency)', 'Incontinence (leaking urine)', 'Urinary retention (Inability to urinate)']",0.75
84,"Deep venous thrombosis DVT, venous blood clot","['Arm ache or pain', 'Leg ache or pain', 'Swelling of both legs', 'Arm swelling', 'Hand redness', 'Foot redness', 'Arm redness']",1.68
85,Dental eruption appearance of new tooth,['Pain in the ear'],1.0
86,Dentures,"['Mouth pain', 'Painful gums', 'Swollen gums']",1.0
87,Diabetes high blood sugar,"['Lethargy (Sluggishness)', 'Visual problems', 'Tired', 'Weight loss, unexplained', 'Failure to thrive', 'Urinary retention (Inability to urinate)', 'Frequent urination (Frequency)', 'Numbness', 'Hand numbness (paresthesias)', 'Impotence', 'Eye floaters', 'Arm itching', 'Foot itching', 'Hand itching', 'Arm numbness (paresthesias)', 'Leg numbness (paresthesias)', 'Foot numbness (paresthesias)', 'Face numbness (paresthesias)', 'Confusion']",0.96
88,Diabetes mellitus type 2 elevated blood sugar,"['Double vision (Diplopia)', 'Incontinence (leaking urine)', 'Obesity']",0.57
89,Benadryl diphenhydramine overdose,"['Overdose', 'Poisoning']",2.0
90,Diphtheria infection bacterial respiratory infection,"['Sore throat', 'Swallowing problem (Dysphagia)', 'Throat pain']",1.0
91,Discitis spinal disk inflammation,"['Back ache or pain', 'Neck ache or pain', 'Low back ache or pain']",1.0
92,Dislocation joint out of place,['Arm ache or pain'],0.88
93,Unisom overdose doxylamine overdose,"['Overdose', 'Poisoning']",1.67
94,Drug overuse Prescription Drug Overuse,"['Change in behavior', 'Lethargy (Sluggishness)', 'Weight loss, unexplained', 'Anxiety (Nervousness)', 'Substance abuse (Drug abuse)']",2.0
95,Drug overdose,"['Hypothermia (Low temperature)', 'Loss of balance', 'Speech problem', 'Confusion']",1.43
96,Drug reaction,"['Rash', 'Seizure', 'Blister (Pocket of fluid)', 'Change in behavior', 'Depressed', 'Dizziness', 'Fainting', 'Delusions or hallucinations', 'Headache', 'Insomnia (Trouble sleeping)', 'Skin itching', 'Substance abuse (Drug abuse)', 'Vomiting', 'Skin sores', 'Chest pain']",
97,Dry air nasal irritation,['Nasal bleeding'],2.0
98,Ear laceration cut on the ear,"['Ear pressure', 'Pain in the ear']",0.0
99,Ear swelling,"['Ear pressure', 'Pain in the ear']",0.0
101,Ecstasy MDMA abuse,['Substance abuse (Drug abuse)'],2.0
102,Ectopic pregnancy tubal pregnancy,"['Lower abdominal pain', 'Shoulder ache or pain', 'Vaginal bleeding', 'Stomach and abdominal pain']",1.43
104,Encephalitis brain infection,"['Fever in the returning traveler', 'Seizure', 'Speech problem', 'Unsteady gait (Trouble walking)', 'Headache', 'Tremors', 'Confusion and headache']",1.64
107,Epidural hematoma bleeding around brain or spine,"['Change in behavior', 'Seizure', 'Speech problem', 'Unsteady gait (Trouble walking)', 'Headache', 'Loss of balance', 'Confusion', 'Headache and weakness', 'Confusion and headache']",2.36
108,Epiglottitis severe throat inflammation,"['Chills', 'Fever', 'Swallowing problem (Dysphagia)', 'Sore throat', 'Throat pain', 'Choking']",1.88
109,Erythrasma chronic bacterial skin infection,"['Hand redness', 'Foot redness', 'Arm redness']",0.0
110,Esophageal varices dilation of esophageal veins,"['Blood in vomit', 'Vomiting coffee ground material']",1.75
111,"Esophageal web Schatzki's ring, constriction of esophagus",['Swallowing problem (Dysphagia)'],2.0
112,Estrogen withdrawal female hormone,['Vaginal bleeding'],1.0
113,Extremity trauma leg or arm injury,"['Trauma', 'Arm ache or pain']",0.4
117,Facial trauma facial injury,"['Trauma', 'Face numbness (paresthesias)', 'Facial droop (weakness)']",3.0
119,False pregnancy,['Depressed'],0.0
120,Familial cold urticaria cold-related hives,"['Hives', 'Itchy rash (Pruritic rash)']",0.0
121,Fecal impaction rectal blockage from stool,['Incontinence (leaking urine)'],1.5
124,Fibroid uterine muscle tumor,"['Vaginal bleeding', 'Infertility (Female)', 'Stomach and abdominal pain']",0.5
125,Fibromyalgia chronic pain disorder,"['Muscle pain', 'Tired', 'Low back ache or pain', 'Lower abdominal pain', 'Arm ache or pain', 'Back ache or pain', 'Flank pain', 'Kidney pain (Flank pain)', 'Leg ache or pain', 'Neck ache or pain', 'Chest pain']",0.12
132,Fracture broken bone,"['Arm ache or pain', 'Leg ache or pain', 'Swelling of both legs', 'Hand numbness (paresthesias)', 'Arm swelling', 'Arm numbness (paresthesias)', 'Leg numbness (paresthesias)', 'Foot numbness (paresthesias)', 'Face numbness (paresthesias)', 'Back ache or pain', 'Low back ache or pain']",1.36
134,Fungal infections,"['Fever of unknown origin', 'Itchy rash (Pruritic rash)']",1.33
136,Gastritis stomach inflammation,"['Upper abdominal pain', 'Blood in vomit', 'Vomiting coffee ground material', 'Stomach and abdominal pain', 'Back ache or pain', 'Chest pressure', 'Vomiting', 'Low back ache or pain']",0.77
140,Gingivitis inflammation of the gums,"['Mouth pain', 'Mouth ulcers', 'Bleeding gums', 'Painful gums', 'Swollen gums']",1.8
144,Head injury,"['Headache', 'Nasal bleeding', 'Dizziness', 'Neck ache or pain', 'Vomiting', 'Tremors', 'Headache and weakness']",1.67
145,Head trauma,"['Trauma', 'Ringing in ears (Tinnitus)', 'Visual problems']",3.0
146,Heat stroke,"['Speech problem', 'Hand redness', 'Foot redness', 'Arm redness', 'Headache and weakness']",1.36
148,Hematoma collection of blood,['Stomach and abdominal pain'],
149,Hemoptysis coughing blood,['Blood in vomit'],0.0
151,Hemotympanum blood behind ear drum,"['Ear pressure', 'Pain in the ear']",2.0
152,"Herniated disc slipped disc, ruptured disc","['Arm ache or pain', 'Back ache or pain', 'Leg ache or pain', 'Neck ache or pain', 'Unsteady gait (Trouble walking)', 'Shoulder ache or pain', 'Arm numbness (paresthesias)', 'Leg numbness (paresthesias)', 'Foot numbness (paresthesias)', 'Low back ache or pain', 'Headache']",0.5
153,Hip fracture broken hip,['Leg ache or pain'],1.25
155,Hypertension high blood pressure,"['Nasal bleeding', 'Impotence', 'Headache']",0.75
156,Hypertensive emergency severely high blood pressure,"['Dizziness', 'Headache', 'Confusion and headache']",1.57
157,Hyperthyroidism elevated thyroid hormone,"['Amenorrhea (No menstruation)', 'Hot flashes', 'Confusion']",0.56
158,Hypertrophic cardiomyopathy thickened heart muscle,"['Fainting', 'Shortness of breath', 'Chest pain']",1.5
159,Hypocalcemia low blood calcium,"['Seizure', 'General weakness', 'Tired', 'Muscle spasm', 'Numbness', 'Tremors']",0.67
160,Hypoxia lack of oxygen,"['Anxiety (Nervousness)', 'Change in behavior', 'Shortness of breath', 'Confusion']",2.4
161,"Nonsteroidal anti-inflammatory drug overdose Motrin, Advil","['Overdose', 'Poisoning', 'Vomiting coffee ground material', 'Ringing in ears (Tinnitus)', 'Blood in vomit']",2.83
163,Impacted tooth tooth that doesn't erupt,['Painful gums'],2.0
164,"Impingement syndrome of shoulder bone rubs again tendon, bursa",['Shoulder ache or pain'],1.0
165,Infection,"['Lethargy (Sluggishness)', 'Heart pulsations and palpitations', 'Failure to thrive']",2.67
167,Inflammatory conditions,['Fever of unknown origin'],0.5
168,Inhalants abuse huffing,['Substance abuse (Drug abuse)'],0.0
169,Insulin overdose,"['Overdose', 'Poisoning', 'Fainting']",1.5
170,Intrahepatic cholestasis of pregnancy liver disorder in pregnancy,['Itchy rash (Pruritic rash)'],0.0
172,Iron overdose,['Poisoning'],1.5
173,Jet lag,['Insomnia (Trouble sleeping)'],1.5
174,Kidney cancer tumor,"['Kidney pain (Flank pain)', 'Blood in urine (Hematuria)', 'Hot flashes', 'Flank pain']",0.5
175,Knee laceration skin cut,['Leg ache or pain'],0.0
178,Laryngeal carcinoma throat cancer,"['Swallowing problem (Dysphagia)', 'Sore throat', 'Throat pain']",0.0
180,Leg laceration skin cut,['Leg ache or pain'],
181,Leg swelling leg edema,['Leg ache or pain'],
183,Legionellosis Legionnaires' disease,['Fever in the returning traveler'],1.0
184,Ligament sprain connection between two bones,"['Chest pain', 'Low back ache or pain', 'Upper abdominal pain', 'Lower abdominal pain', 'Arm ache or pain', 'Back ache or pain', 'Pain or soreness of breast', 'Chest pressure', 'Leg ache or pain', 'Neck ache or pain']",0.72
185,Ligament tear connection between two bones,['Swelling of both legs'],0.86
186,Limb ischemia decreased blood flow,['Numbness'],1.0
189,Lung cancer tumor,"['Hemoptysis (Coughing blood)', 'Shortness of breath', 'Back ache or pain', 'Chest pain']",0.14
190,Magic mushroom ingestion psilocybin,"['Delusions or hallucinations', 'Substance abuse (Drug abuse)']",
191,Malignant hyperthermia rare temperature abnormality,"['Change in behavior', 'Confusion']",1.0
192,Marijuana use,"['Substance abuse (Drug abuse)', 'Alcohol abuse', 'Change in behavior']",1.2
193,Maxillary sinus carcinoma sinus cancer,"['Double vision (Diplopia)', 'Facial pain', 'Nasal bleeding']",0.0
194,Meniscus injury knee cartilage injury,['Leg ache or pain'],0.5
196,Metastatic neoplasm cancer spread,"['Pain or soreness of breast', 'Leg ache or pain', 'Skin sores']",0.0
197,Methamphetamine abuse,['Heart pulsations and palpitations'],0.0
198,Miscarriage,"['Lower abdominal pain', 'Low back ache or pain']",
200,Mosquito bite,"['Arm itching', 'Foot itching', 'Hand redness', 'Foot redness', 'Arm redness', 'Hand itching']",2.0
203,"Multiple pregnancy twins, triplets, etc",['Lower abdominal pain'],
206,Myocardial infarction heart attack,"['Arm ache or pain', 'Chest pressure', 'Heart pulsations and palpitations', 'Shortness of breath', 'Shoulder ache or pain', 'Vomiting', 'Jaw pain', 'Chest pain', 'Flank pain', 'Kidney pain (Flank pain)']",1.43
207,Myositis muscle inflammation or infection,['Muscle pain'],1.5
212,"Narcotic morphine, heroin abuse","['Substance abuse (Drug abuse)', 'Alcohol abuse', 'Anxiety (Nervousness)', 'Change in behavior', 'Depressed', 'Fainting', 'Insomnia (Trouble sleeping)']",0.14
213,"Narcotic morphine, heroin overdose","['Overdose', 'Poisoning']",2.2
214,Nasal cancer tumor,['Nasal bleeding'],0.0
215,Nasal fracture broken nose,"['Nasal congestion', 'Headache']",0.67
216,Nasal trauma nose injury,['Nasal bleeding'],2.0
217,Nasopharyngeal carcinoma tumor,['Double vision (Diplopia)'],0.0
220,Normal menstruation,['Vaginal bleeding'],1.0
221,"Norovirus infection viral diarrhea, Norwalk virus",['Fever in the returning traveler'],0.0
223,Ophthalmoplegia eye muscle weakness,['Double vision (Diplopia)'],2.0
224,Oral ulcers mouth ulcers,"['Mouth pain', 'Mouth ulcers']",2.0
225,Orbital fracture broken bone near the eye,"['Double vision (Diplopia)', 'Visual problems', 'Headache']",1.5
226,Orbital mass growth near the eye,"['Double vision (Diplopia)', 'Visual problems', 'Blurry vision']",1.75
228,Osteoarthritis bone inflammation,"['Arm ache or pain', 'Leg ache or pain', 'Swelling of both legs', 'Back ache or pain', 'Leg numbness (paresthesias)', 'Foot numbness (paresthesias)', 'Low back ache or pain', 'Neck ache or pain']",0.78
229,Ototoxicity ear toxicity,['Vertigo (Room spinning)'],
230,Ovarian cyst female organ fluid collection,"['Lower abdominal pain', 'Vaginal bleeding', 'Low back ache or pain', 'Stomach and abdominal pain', 'Upper abdominal pain', 'Back ache or pain', 'Pain or soreness of breast']",0.33
231,Ovarian torsion twisting of the ovary,['Lower abdominal pain'],1.5
232,Overdose,"['Heart pulsations and palpitations', 'Seizure', 'Tired']",2.33
233,Overuse syndrome injury from repetitive activity,"['Muscle pain', 'Swelling of both legs', 'Muscle spasm', 'Blister (Pocket of fluid)']",1.45
234,Paget disease of the nipple rare breast cancer,['Nipple discharge'],1.0
235,Pancoast syndrome apical lung tumor,['Shoulder ache or pain'],0.0
236,Pancreatitis pancreas inflammation,"['Upper abdominal pain', 'Back ache or pain', 'Vomiting', 'Low back ache or pain', 'Stomach and abdominal pain', 'Alcohol abuse', 'Chest pain']",1.25
237,Parasite infection,"['Fever of unknown origin', 'Vomiting', 'Nasal congestion', 'Stomach and abdominal pain']",1.33
242,Perforated septum hole in skin between nostrils,"['Nasal congestion', 'Skin sores']",0.0
243,Pericarditis heart sac inflammation,"['Chest pressure', 'Chest pain']",2.5
244,Periodontitis gum inflammation,"['Bleeding gums', 'Painful gums', 'Swollen gums', 'Pain in the ear']",1.6
245,Periorbital cellulitis infection around eye,"['Eye pain (Irritation)', 'Eye swelling']",2.5
246,Pesticide poisoning organophosphate poisoning,['Poisoning'],1.0
247,Pheochromocytoma adrenal gland tumor,['Hot flashes'],1.0
248,Pituitary tumor,"['Double vision (Diplopia)', 'Visual problems', 'Amenorrhea (No menstruation)', 'Nipple discharge']",0.0
249,Placenta previa placenta covers cervix,"['Lower abdominal pain', 'Low back ache or pain']",1.33
252,Poisoning,"['Seizure', 'Tired']",2.5
253,Posterior inferior cerebellar artery syndrome stroke syndrome,['Headache'],1.0
254,Pregnancy,"['Incontinence (leaking urine)', 'Amenorrhea (No menstruation)', 'Arm itching', 'Foot itching', 'Hand itching', 'Back ache or pain', 'Nipple discharge']",
255,Prescription drug abuse,"['Substance abuse (Drug abuse)', 'Alcohol abuse', 'Anxiety (Nervousness)', 'Change in behavior', 'Depressed', 'Dizziness', 'Delusions or hallucinations', 'Vomiting', 'Tremors', 'Low back ache or pain']",
257,Primary sclerosing cholangitis bile duct disease,"['Itchy rash (Pruritic rash)', 'Jaundice (Yellowing skin)', 'Arm itching', 'Foot itching', 'Hand itching', 'Steatorrhea (Excess fat in stool)']",1.0
259,Pulmonary edema fluid build-up in the lungs,"['Shortness of breath', 'Chest pain']",1.4
260,Pulmonary embolism blood clot in the lungs,"['Chest pressure', 'Shortness of breath', 'Hemoptysis (Coughing blood)', 'Back ache or pain', 'Dizziness', 'Chest pain']",1.5
261,Pulmonary fibrosis lung scarring,"['Shortness of breath', 'Chest pressure']",0.0
267,Puncture wound of face,['Headache'],
278,Quaternary syphilis late stage syphilis,"['Unsteady gait (Trouble walking)', 'Visual problems']",0.0
279,Radial head fracture broken elbow bone,['Arm ache or pain'],1.0
280,Radiator fluid ethylene glycol poisoning,['Poisoning'],1.0
281,Rectal abscess collection of pus in the rectum,"['Skin sores', 'Low back ache or pain']",0.75
285,"Renal failure, chronic ongoing kidney failure","['Skin itching', 'Lethargy (Sluggishness)', 'Seizure', 'General weakness', 'Tired', 'Swelling of both legs', 'Muscle spasm', 'Impotence', 'Arm itching', 'Foot itching', 'Hand itching', 'Dizziness', 'Shortness of breath', 'Vomiting', 'Confusion']",0.14
286,Renal trauma kidney trauma,"['Kidney pain (Flank pain)', 'Blood in urine (Hematuria)', 'Flank pain']",1.67
287,"Respiratory failure breathing failure, ARDS","['Change in behavior', 'Seizure', 'Cough', 'Confusion']",1.8
288,Restless legs syndrome nervous system disorder,"['Insomnia (Trouble sleeping)', 'Leg ache or pain', 'Tremors']",0.4
289,Rib fracture broken bone,"['Back ache or pain', 'Flank pain', 'Kidney pain (Flank pain)', 'Chest pain', 'Low back ache or pain']",
290,Rotator cuff syndrome shoulder injury,"['Shoulder ache or pain', 'Arm ache or pain', 'Back ache or pain', 'Neck ache or pain']",
291,Rotavirus infection intestinal viral infection,['Fever in the returning traveler'],1.33
292,Rubbing isopropyl alcohol overdose,['Poisoning'],0.5
293,"Severe Acute Respiratory Syndrome SARS, serious viral pneumonia",['Fever in the returning traveler'],1.33
294,Scalp laceration scalp cut,['Headache'],
296,Scoliosis crooked spine,"['Low back ache or pain', 'Back ache or pain']",0.0
301,Septal perforation hole in the skin between nostrils,['Nasal bleeding'],1.0
302,Septic hip infected hip joint,['Inconsolable baby'],2.5
306,Sjogren's syndrome dry eyes and mouth,"['Vaginal pain', 'Mouth swelling']",0.0
307,Skin abscess collection of pus,"['Pustule (Collection of pus)', 'Skin swelling']",1.71
310,Skull fracture broken bone,['Confusion and headache'],2.0
312,Small bowel lymphoma intestinal lymph node cancer,['Blood in vomit'],0.33
313,Smoke inhalation,"['Shortness of breath', 'Dizziness', 'Fainting']",1.0
314,Insect bite,"['Arm itching', 'Foot itching', 'Hand redness', 'Foot redness', 'Arm redness', 'Hand itching', 'Skin itching', 'Rash', 'Skin sores']",1.6
315,Spinal abscess collection of spinal pus,"['Back ache or pain', 'Neck ache or pain']",1.0
316,"Spinal cord injury, acute","['Incontinence (leaking urine)', 'Urinary retention (Inability to urinate)', 'Impotence', 'Low back ache or pain', 'Neck ache or pain']",1.2
317,Splenic infarction death of spleen,"['Upper abdominal pain', 'Chest pain']",1.0
318,"Sprain stretched, torn ligament",['Swelling of both legs'],1.91
319,Squamous cell cancer common skin cancer,"['Sinus pain and pressure', 'Lip swelling', 'Skin sores']",0.0
321,Steroid use,['Obesity'],1.5
322,"Steven Johnson syndrome rare, serious skin disorder","['Itchy rash (Pruritic rash)', 'Painful rash', 'Blister (Pocket of fluid)', 'Lip swelling', 'Eye swelling', 'Hand redness', 'Foot redness', 'Arm redness']",1.1
323,Muscle strain pulled muscle,"['Arm ache or pain', 'Back ache or pain', 'Leg ache or pain', 'Swelling of both legs', 'Shoulder ache or pain', 'Armpit pain', 'Low back ache or pain', 'Chest pressure', 'Flank pain', 'Kidney pain (Flank pain)', 'Neck ache or pain', 'Chest pain']",1.35
326,Substance abuse,"['Depressed', 'Tremors']",
329,Supracondylar fracture elbow fracture,['Arm ache or pain'],0.33
330,Symptomatic dermatographism exaggerated skin response to pressure,"['Hives', 'Itchy rash (Pruritic rash)']",0.5
332,Temporal arteritis inflamed scalp artery,"['Double vision (Diplopia)', 'Eye pain (Irritation)', 'Facial pain', 'Headache', 'Visual problems']",1.2
333,Temporal lobe epilepsy non-convulsive seizure,"['Delusions or hallucinations', 'Tremors']",2.0
334,"Temporomandibular joint syndrome TMJ, jaw joint pain","['Facial pain', 'Jaw pain', 'Pain in the ear', 'Headache']",0.75
336,Testicular torsion twisting of testicle,['Inconsolable baby'],2.5
337,Third cranial nerve disorder disorder of eye movement,"['Double vision (Diplopia)', 'Visual problems']",2.0
338,Tick paralysis toxin from ticks,['Unsteady gait (Trouble walking)'],2.0
341,Tonsillitis tonsil infection,"['Sore throat', 'Throat pain', 'Hemoptysis (Coughing blood)', 'Blood in vomit', 'Snoring', 'Chills', 'Cough', 'Pain in the ear', 'Fever', 'Headache', 'Shortness of breath', 'Vomiting']",1.0
342,Toxic shock syndrome life-threatening bacterial infection complication,"['Fever', 'Muscle pain']",1.0
343,Transverse myelitis spinal cord inflammation,"['Back ache or pain', 'Numbness', 'Hand numbness (paresthesias)', 'Leg numbness (paresthesias)', 'Arm numbness (paresthesias)', 'Foot numbness (paresthesias)']",1.33
344,Traumatic nerve injury,"['Numbness', 'Hand numbness (paresthesias)', 'Arm numbness (paresthesias)', 'Leg numbness (paresthesias)', 'Foot numbness (paresthesias)']",2.56
